question,old intent,new intent,comments
Tell me the total depth of 210/3a-4Z well?,AllData,TotalDepth,
How deep is the well 210/29c-5?,TargetTolerance,TotalDepth,
210/30a-4X is operated by?,Equity,Operator,intent identified is incorrect
BD06 is operated by whom?,Rig,Operator,
Who are the owners of 210/30a-4?,Operator,Equity,
210/30a-4Y is owned by whom?,Operator,Equity,
What is the appliance used in BD06?,Azimuth,Rig,intent for appliance used for drilling is rig
In 210/30a-4Z what piece of euipment is used?,Azimuth,Rig,
What is the tolerance of the well BD06?,TotalDepth,TargetTolerance,
Tell me the tolerance of 210/30a-4Y well?,AllData,TargetTolerance,
Where is the hydrocarbon located for well 210/30a-4X?,TotalDepth,SourceHydrocarbons,incorrect intent
What is the location of the hydrocarbon for well 210/30a-4Y?,Azimuth,SourceHydrocarbons,
When was the well 210/30-4Y spudded?,TargetTolerance,SpudDate,
When was the well 210/29c-5 spudded?,AllData,SpudDate,intent for the question is spud date
Tell me all the details of 210/30a-4X well?,TargetTolerance,AllData,intent should be AllData
Tell me the all the details of 210/30a-4Y well?,TotalDepth,AllData,
What is the angular measurement of 210/29c-5?,Rig,Azimuth,wrong intent
What is the spherical coordinate of 210/30a-4Y?,Rig,Azimuth,
